"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"1"	30	"Non precise"	"Enseignement"	2011	"Beton"	2.12
"2"	33	"Non precise"	"Enseignement"	2011	"Beton"	1.94
"3"	67	"Tarn"	"Enseignement"	2010	"Bois"	0.85
"4"	84	"Tarn"	"Bureaux"	2011	"Beton"	0.72
"5"	114	"Jura"	"Enseignement"	2011	"Mixte Beton-Bois"	0.523547534
"6"	118	"Haute-Saone"	"Enseignement"	2011	"Mixte Beton-Bois"	0.52
"7"	119	"Haute-Saone"	"Enseignement"	2011	"Mixte Beton-Bois"	0.5
"8"	122	"Pyrenees-Atlantiques"	"Bureaux"	2011	"Bois"	1.202
"9"	137	"Pyrenees-Atlantiques"	"Bureaux"	2011	"Beton"	1.283
"10"	153	"Pyrenees-Atlantiques"	"Enseignement"	2011	"Bois"	2.195
"14"	371	"Non precise"	"Enseignement"	2011	"Bois"	1.05
"15"	380	"Non precise"	"Bureaux"	2011	"Beton"	0.9
"18"	587	"Landes"	"Bureaux"	2010	"Bois"	0.755779167
"22"	624	"Loiret"	"Bureaux"	2010	"Mixte Acier-Beton"	2
"26"	645	"Loire-Atlantique"	"Bureaux"	2010	"Beton"	0.62
"27"	646	"Loire-Atlantique"	"Bureaux"	2010	"Beton"	1.15
"28"	653	"Hauts-de-Seine"	"Bureaux"	2011	"Beton"	0.559
"29"	728	"Herault"	"Enseignement"	2014	"Acier"	0.7
"30"	780	"Vosges"	"Enseignement"	2010	"Beton"	2.37
"31"	781	"Vosges"	"Enseignement"	2010	"Beton"	0.75
"32"	813	"Non precise"	"Enseignement"	2011	"Beton"	0.3
"33"	828	"Non precise"	"Bureaux"	2011	"Beton"	0.96
"34"	832	"Non precise"	"Commerce"	2011	"Pierre"	0.64
"35"	833	"Non precise"	"Commerce"	2011	"Pierre"	0.36
"36"	838	"Non precise"	"Enseignement"	2011	"Bois"	0.55
"41"	1202	"Non precise"	"Locaux sportifs"	2011	"Bois"	0.69
"42"	1255	"Non precise"	"Bureaux"	2010	"Bois"	0.14
"57"	1350	"Ille-et-Vilaine"	"Bureaux"	2010	"Terre cuite"	0.32
"58"	1351	"Finistere"	"Bureaux"	2010	"Mixte Beton-Bois"	0.38
"59"	1352	"Finistere"	"Bureaux"	2010	"Beton"	2.08
"61"	1354	"Morbihan"	"Bureaux"	2010	"Bois"	1.03
"67"	1383	"Finistere"	"Bureaux"	2010	"Bois"	0.77
"69"	1401	"Morbihan"	"Locaux sportifs"	2010	"Mixte Acier-Beton"	0.44
"74"	1462	"Morbihan"	"Enseignement"	2010	"Bois"	0.63
"75"	1469	"Morbihan"	"Bureaux"	2010	"Pierre"	0.98
"77"	1476	"Ille-et-Vilaine"	"Bureaux"	2010	"Bois"	0.2
"80"	1525	"Loire-Atlantique"	"Etablissement sanitaire"	2010	"Beton"	1.4
"82"	1536	"Cotes-Darmor"	"Commerce"	2010	"Bois"	0.24
"83"	1537	"Cotes-Darmor"	"Commerce"	2010	"Pierre"	0.47
"87"	1561	"Moselle"	"Etablissement sanitaire"	2010	"Mixte Beton-Bois"	0.704113617
"98"	1592	"Moselle"	"Bureaux"	2010	"Beton"	1.1
"99"	1597	"Meuse"	"Etablissement sanitaire"	2011	"Beton"	1.000507064
"100"	1598	"Meurthe-et-Moselle"	"Bureaux"	2011	"Beton"	1.461
"101"	1608	"Aisne"	"Bureaux"	2011	"Beton"	1.777053332
"104"	1640	"Non precise"	"Enseignement"	2010	"Bois"	1.05
"106"	1660	"Non precise"	"Enseignement"	2011	"Bois"	0.41
"107"	1661	"Non precise"	"Enseignement"	2011	"Bois"	1.39
"108"	1664	"Non precise"	"Bureaux"	2011	"Pierre"	3.1
"109"	1665	"Non precise"	"Bureaux"	2011	"Beton"	3.8
"110"	1675	"Seine-et-Marne"	"Bureaux"	2011	"Bois"	0.597
"112"	1707	"Finistere"	"Salle polyvalente"	2011	"Terre cuite"	2.38
"115"	1723	"Finistere"	"Bureaux"	2011	"Bois"	0.836
"116"	1724	"Finistere"	"Restaurant"	2011	"Bois"	1.303
"117"	1727	"Finistere"	"Bureaux"	2011	"Bois"	0.696
"118"	1731	"Finistere"	"Enseignement"	2011	"Terre cuite"	0.911
"136"	1927	"Non precise"	"Enseignement"	2011	"Beton"	1.47
"138"	1965	"Non precise"	"Bureaux"	2011	"Beton"	0.5
"143"	2048	"Doubs"	"Bureaux"	2011	"Bois"	1.18
"144"	2071	"Doubs"	"Bureaux"	2011	"Pierre"	1.21
"145"	2083	"Jura"	"Etablissement sanitaire"	2011	"Bois"	1.04
"146"	2086	"Doubs"	"Bureaux"	2011	"Pierre"	0.79
"147"	2090	"Doubs"	"Locaux sportifs"	2011	"Beton"	1.21
"149"	2187	"Rhone"	"Bureaux"	2011	"Bois"	1.02
"150"	2277	"Deux-Sevres"	"Etablissement sanitaire"	2011	"Bois"	0.59
"151"	2351	"Charente-Maritime"	"Bureaux"	2011	"Brique"	0.72
"154"	2623	"Landes"	"Bureaux"	2011	"Bois"	0.68
"155"	2708	"Gard"	"Bureaux"	2010	"Beton"	0.61
"159"	2761	"Ille-et-Vilaine"	"Locaux sportifs"	2010	"Bois"	1.2
"161"	2775	"Ille-et-Vilaine"	"Restaurant"	2010	"Mixte Beton-Bois"	1.271
"162"	2788	"Non precise"	"Enseignement"	2011	"Mixte Beton-Bois"	1.294
"167"	2877	"Non precise"	"Enseignement"	2011	"Bois"	0.716
"169"	2947	"Ille-et-Vilaine"	"Enseignement"	2012	"Bois"	0.503227
"172"	3006	"Lot-et-Garonne"	"Bureaux"	2011	"Beton"	0.77
"173"	3007	"Lot-et-Garonne"	"Bureaux"	2011	"Beton"	0.92
"174"	3091	"Non precise"	"Bureaux"	2011	"Pierre"	1.03
"175"	3117	"Non precise"	"Enseignement"	2012	"Mixte Beton-Bois"	1.054
"176"	3125	"Saone-et-Loire"	"Commerce"	2011	"Pierre"	1.4
"188"	3492	"Rhone"	"Enseignement"	2010	"Beton"	1.736129747
"189"	3496	"Rhone"	"Locaux sportifs"	2010	"Beton"	3.05044364
"191"	3507	"Haute-Savoie"	"Bureaux"	2010	"Beton"	2.710208762
"192"	3508	"Haute-Savoie"	"Bureaux"	2010	"Beton"	1.798206418
"193"	3510	"Rhone"	"Enseignement"	2010	"Bois"	0.404951798
"195"	3524	"Rhone"	"Salle polyvalente"	2011	"Mixte Beton-Bois"	0.930622813
"199"	3555	"Haute-Savoie"	"Bureaux"	2011	"Bois"	0.417960046
"210"	3697	"Loir-et-Cher"	"Bureaux"	2011	"Bois"	1.48
"214"	3748	"Rhone"	"Hotel"	2011	"Bois"	0.467
"215"	3749	"Rhone"	"Hotel"	2011	"Bois"	0.474
"216"	3750	"Rhone"	"Hotel"	2011	"Bois"	0.421
"218"	3768	"Saone-et-Loire"	"Restaurant"	2011	"Bois"	0.236
"220"	3801	"Saone-et-Loire"	"Bureaux"	2011	"Bois"	0.355
"222"	3815	"Drome"	"Locaux sportifs"	2012	"Bois"	0.519
"224"	3929	"Non precise"	"Bureaux"	2011	"Bois"	0.25
"227"	4344	"Non precise"	"Bureaux"	2011	"Beton"	1.44
"228"	4395	"Non precise"	"Bureaux"	2010	"Beton"	0.61
"229"	4409	"Non precise"	"Bureaux"	2011	"Beton"	0.47
"230"	4433	"Indre"	"Bureaux"	2011	"Mixte Acier-Beton"	0.463189706
"231"	4892	"Bas-Rhin"	"Enseignement"	2011	"Beton"	1.22
"234"	5072	"Bas-Rhin"	"Bureaux"	2011	"Beton"	3.84
"241"	5368	"Morbihan"	"Etablissement sanitaire"	2011	"Beton"	1.77
"242"	5369	"Morbihan"	"Etablissement sanitaire"	2011	"Beton"	1.19
"243"	5370	"Morbihan"	"Etablissement sanitaire"	2011	"Beton"	1.49
"244"	5371	"Morbihan"	"Etablissement sanitaire"	2011	"Beton"	3.16
"245"	5372	"Morbihan"	"Etablissement sanitaire"	2011	"Beton"	1.02
"246"	5373	"Morbihan"	"Etablissement sanitaire"	2011	"Beton"	1.29
"248"	5385	"Maine-et-Loire"	"Locaux sportifs"	2011	"Bois"	3.43
"249"	5409	"Non precise"	"Enseignement"	2011	"Beton"	1.775843017
"253"	5459	"Non precise"	"Locaux sportifs"	2011	"Brique"	6.37429456
"259"	5534	"Var"	"Enseignement"	2011	"Beton"	1.524060387
"261"	5672	"Maine-et-Loire"	"Bureaux"	2011	"Mixte Beton-Bois"	1.059758
"262"	5673	"Maine-et-Loire"	"Bureaux"	2011	"Mixte Beton-Bois"	1.288796
"263"	5691	"Vienne"	"Bureaux"	2010	"Acier"	2.95
"264"	5692	"Vienne"	"Bureaux"	2010	"Acier"	5.495
"265"	5693	"Vienne"	"Bureaux"	2010	"Acier"	4.909
"266"	5694	"Vienne"	"Bureaux"	2011	"Beton"	1.261
"268"	5747	"Ardennes"	"Locaux sportifs"	2011	"Bois"	0.66444693
"269"	5762	"Non precise"	"Locaux sportifs"	2011	"Bois"	3.670539906
"270"	5763	"Non precise"	"Locaux sportifs"	2011	"Bois"	4.307458049
"271"	5768	"Nord"	"Bureaux"	2011	"Beton cellulaire"	0.431250398
"275"	5777	"Aisne"	"Enseignement"	2011	"Beton"	0.852677754
"277"	5788	"Oise"	"Bureaux"	2011	"Bois"	1.035423198
"280"	5810	"Somme"	"Bureaux"	2011	"Bois"	0.830226628
"281"	5819	"Somme"	"Bureaux"	2011	"Brique"	1.417067242
"282"	5820	"Somme"	"Bureaux"	2011	"Brique"	1.255372855
"284"	6039	"Maine-et-Loire"	"Enseignement"	2012	"Brique"	1.117016
"285"	6051	"Bouches-du-Rhone"	"Bureaux"	2010	"Beton"	4.92
"286"	6052	"Bouches-du-Rhone"	"Bureaux"	2010	"Beton"	3.15
"287"	6377	"Vendee"	"Enseignement"	2011	"Beton"	0.47
"290"	6471	"Non precise"	"Etablissement sanitaire"	2011	"Beton"	0.900305
"291"	6472	"Non precise"	"Etablissement sanitaire"	2011	"Beton"	3.039
"292"	6473	"Non precise"	"Etablissement sanitaire"	2011	"Beton"	2.1769
"293"	6474	"Non precise"	"Etablissement sanitaire"	2011	"Beton"	2.2649
"294"	6475	"Non precise"	"Etablissement sanitaire"	2011	"Beton"	1.8687
