Date Heure, GMT+01:00	T B110	T B111	T B113	Trepro	T B103	Tescatt	TB102	Tvest	Tinf	TB105	TB104	Tacceuil
11/02/2015 14:01	21.724	20.793	23.376	20.984	21.079	21.294	20.889	20.984	21.056	21.199	21.103	21.413
11/02/2015 14:06	21.748	21.342	23.424	20.936	21.127	21.318	21.056	21.581	21.223	21.294	21.151	23.016
11/02/2015 14:11	21.795	21.509	23.472	21.175	21.223	21.294	21.199	21.676	21.509	21.366	21.366	23.064
11/02/2015 14:16	21.819	21.628	23.521	21.366	21.366	21.366	21.318	22.011	21.175	21.509	21.461	23.016
11/02/2015 14:21	21.867	21.652	23.593	21.485	21.199	21.604	21.127	22.657	20.984	21.437	21.485	22.968
11/02/2015 14:26	21.891	21.485	23.641	21.366	21.533	21.963	22.011	23.064	20.889	21.628	21.437	22.968
11/02/2015 14:31	21.915	21.604	23.689	21.533	22.034	21.795	22.082	23.280	20.817	21.700	21.581	23.016
11/02/2015 14:36	21.963	21.437	23.737	22.082	21.724	21.700	22.011	23.400	20.770	21.652	22.154	23.064
11/02/2015 14:41	21.987	22.753	23.785	22.154	21.485	21.628	21.891	23.472	20.746	22.609	21.987	23.088
11/02/2015 14:46	22.011	23.160	23.833	22.034	21.318	21.604	21.891	23.521	20.722	22.848	21.843	23.112
11/02/2015 14:51	22.034	23.232	23.905	21.915	21.223	21.581	21.891	23.569	20.698	22.944	21.772	23.136
11/02/2015 14:56	22.058	23.256	23.954	21.891	21.127	21.581	21.891	23.569	20.698	23.016	21.724	23.136
11/02/2015 15:01	22.058	23.280	24.002	21.867	21.103	21.581	21.891	23.593	20.674	23.040	21.676	23.112
11/02/2015 15:06	22.058	23.304	24.050	21.867	21.079	21.581	21.891	23.593	20.674	23.064	21.676	23.112
11/02/2015 15:11	22.058	23.304	24.098	21.867	21.056	21.581	21.891	23.617	20.650	23.088	21.652	23.088
11/02/2015 15:16	22.058	23.304	24.146	21.867	21.032	21.581	21.891	23.593	20.650	23.136	21.628	23.088
11/02/2015 15:21	22.058	23.304	24.195	21.867	21.032	21.604	21.891	23.617	20.627	23.184	21.628	23.112
11/02/2015 15:26	22.058	23.328	24.291	21.867	21.032	21.604	21.987	23.617	20.603	23.208	21.628	23.112
11/02/2015 15:31	22.082	23.352	24.363	21.867	21.008	21.604	22.011	23.617	20.603	23.232	21.628	23.112
11/02/2015 15:36	22.154	23.352	24.436	21.867	21.008	21.604	22.082	23.617	20.603	23.256	21.628	23.112
11/02/2015 15:41	22.178	23.352	24.484	21.867	21.008	21.628	22.154	23.617	20.579	23.280	21.628	23.112
11/02/2015 15:46	22.202	23.352	24.557	21.891	21.008	21.628	22.154	23.617	20.579	23.304	21.628	23.064
11/02/2015 15:51	22.250	23.376	24.605	21.891	21.008	21.628	22.082	23.617	20.650	23.352	21.628	23.040
11/02/2015 15:56	22.274	23.376	24.677	21.891	21.032	21.628	22.058	23.617	20.674	23.376	21.628	23.040
11/02/2015 16:01	22.298	23.400	24.750	21.891	21.032	21.628	22.011	23.617	20.698	23.400	21.628	23.064
11/02/2015 16:06	22.321	23.400	24.798	21.891	21.032	21.628	21.987	23.641	20.770	23.424	21.628	23.064
11/02/2015 16:11	22.345	23.376	24.847	21.891	21.032	21.604	21.915	23.617	20.817	23.545	21.604	23.064
11/02/2015 16:16	22.345	23.376	24.871	21.915	21.032	21.604	21.891	23.617	20.817	23.857	21.604	23.016
11/02/2015 16:21	22.298	23.352	24.919	21.939	21.056	21.628	22.034	23.617	20.817	23.569	21.628	23.016
11/02/2015 16:26	22.226	23.352	24.944	21.963	21.056	21.604	22.082	23.617	20.817	23.424	21.628	23.016
11/02/2015 16:31	22.154	23.352	24.968	21.939	21.056	21.604	22.178	23.617	20.817	23.352	21.652	23.040
11/02/2015 16:36	22.082	23.328	24.992	21.939	21.056	21.604	22.226	23.617	20.793	23.304	21.676	23.040
11/02/2015 16:41	22.034	23.328	24.968	21.939	21.032	21.604	22.250	23.617	20.770	23.280	21.700	22.992
11/02/2015 16:46	21.987	23.328	24.919	21.939	21.032	21.581	22.226	23.617	20.746	23.256	21.700	22.920
11/02/2015 16:51	21.939	23.304	24.847	21.915	21.032	21.581	22.250	23.617	20.722	23.256	21.724	22.920
