	MatD230	EM160b	MG230	MatD160	FD90	MatG230	FD160	MatG160	EG160b	MatG90	MatG20	FD20	ED160b	ME160	FD230	MatD90	EG230	EG160	EG90	EG20	EM230	EM160	EM90	EM20	ED230	ED160	ED90	ED20
16/12/2014 12:10	21.509	21.151	21.246	21.318	21.103	21.772	21.413	21.318	21.127	21.127	20.317	21.079		21.223	21.318		22.274	22.968	21.056	20.865	21.509	21.461	22.034	19.960	22.537	21.103	20.650	19.056
16/12/2014 12:15	21.509	21.175	21.246	21.318	21.103	21.748	21.413	21.270	21.151	21.127	20.341	21.103		21.246	21.318		22.226	22.944	21.032	20.793	21.485	21.461	22.011	19.960	22.513	21.056	20.650	19.008
16/12/2014 12:20	21.461	21.151	21.223	21.270	21.103	21.724	21.413	21.246	21.127	21.127	20.341	21.103		21.223	21.318		22.178	22.896	21.008	20.746	21.461	21.413	22.011	19.960	22.489	21.008	20.650	18.985
16/12/2014 12:25	21.413	21.127	21.223	21.246	21.103	21.700	21.390	21.223	21.127	21.103	20.341	21.079		21.223	21.318		22.178	22.872	20.984	20.722	21.461	21.366	21.987	19.960	22.465	20.984	20.650	18.985
16/12/2014 12:30	21.390	21.127	21.223	21.199	21.079	21.676	21.390	21.199	21.127	21.056	20.341	21.079		21.199	21.294		22.154	22.848	20.984	20.698	21.485	21.318	21.987	19.960	22.417	20.960	20.650	18.961
16/12/2014 12:35	21.342	21.127	21.199	21.151	21.079	21.652	21.366	21.175	21.127	21.032	20.341	21.079		21.199	21.294		22.106	22.848	20.960	20.674	21.461	21.294	21.987	19.960	22.393	20.936	20.650	18.937
16/12/2014 12:40	21.318	21.103	21.199	21.127	21.056	21.628	21.366	21.151	21.103	21.032	20.341	21.056		21.175	21.270		22.082	22.824	20.936	20.650	21.461	21.246	21.987	19.960	22.369	20.889	20.627	18.937
16/12/2014 12:45	21.294	21.103	21.199	21.103	21.056	21.604	21.342	21.127	21.079	21.008	20.341	21.056		21.175	21.270		22.058	22.800	20.936	20.650	21.437	21.223	21.963	19.960	22.345	20.865	20.627	18.937
16/12/2014 12:50	21.270	21.079	21.175	21.079	21.032	21.604	21.318	21.127	21.079	21.008	20.317	21.032		21.151	21.270		22.058	22.776	20.913	20.627	21.437	21.199	21.963	19.960	22.345	20.841	20.603	18.913
16/12/2014 12:55	21.223	21.079	21.175	21.056	21.056	21.581	21.318	21.103	21.079	20.984	20.317	21.032		21.127	21.246		22.034	22.776	20.913	20.627	21.437	21.199	21.963	19.960	22.321	20.841	20.579	18.937
16/12/2014 13:00	21.223	21.056	21.151	21.032	21.032	21.557	21.318	21.079	21.056	20.960	20.317	21.032		21.103	21.246		22.011	22.753	20.889	20.603	21.413	21.175	21.963	19.960	22.298	20.817	20.555	18.937
16/12/2014 13:05	21.199	21.032	21.151	21.008	21.032	21.557	21.318	21.056	21.056	20.960	20.317	21.032		21.103	21.246		22.011	22.753	20.889	20.603	21.413	21.151	21.963	19.960	22.298	20.793	20.555	18.913
16/12/2014 13:10	21.199	21.032	21.127	21.008	21.032	21.557	21.294	21.056	21.032	20.936	20.293	21.008		21.103	21.223		22.011	22.729	20.865	20.579	21.413	21.151	21.939	19.960	22.298	20.793	20.579	18.913
16/12/2014 13:15	21.223	21.032	21.151	21.032	21.032	21.533	21.318	21.079	21.032	20.936	20.317	21.008		21.103	21.223		22.011	22.729	20.889	20.603	21.413	21.175	21.963	19.960	22.321	20.793	20.579	18.937
16/12/2014 13:20	21.413	21.056	21.175	21.127	21.056	21.557	21.318	21.127	21.056	20.984	20.317	21.032		21.103	21.246		22.058	22.753	20.889	20.603	21.461	21.270	21.963	19.984	22.393	20.889	20.627	18.961
16/12/2014 13:25	21.604	21.079	21.199	21.270	21.079	21.628	21.342	21.151	21.079	21.008	20.341	21.032		21.151	21.246		22.106	22.776	20.913	20.603	21.485	21.390	21.987	19.960	22.441	20.936	20.603	19.008
16/12/2014 13:30	21.724	21.103	21.223	21.366	21.103	21.676	21.390	21.199	21.103	21.032	20.341	21.056		21.175	21.270		22.130	22.776	20.913	20.603	21.533	21.437	22.011	19.984	22.513	20.960	20.627	19.008
16/12/2014 13:35	22.082	21.127	21.223	21.557	21.127	21.724	21.390	21.246	21.127	21.056	20.341	21.079		21.199	21.294		22.154	22.800	20.936	20.603	21.581	21.485	21.987	19.984	22.537	21.008	20.674	19.008
16/12/2014 13:40	22.226	21.151	21.246	21.604	21.127	21.772	21.413	21.294	21.127	21.103	20.365	21.103		21.223	21.318		22.178	22.824	20.960	20.627	21.628	21.509	22.034	19.984	22.561	21.032	20.674	19.032
16/12/2014 13:45	22.082	21.199	21.270	21.604	21.127	21.795	21.437	21.342	21.151	21.127	20.365	21.127		21.246	21.342		22.202	22.872	20.984	20.627	21.676	21.485	22.058	20.007	22.609	21.056	20.698	19.056
16/12/2014 13:50	22.058	21.223	21.318	21.628	21.175	21.819	21.485	21.413	21.199	21.175	20.365	21.127		21.270	21.366		22.226	22.896	21.008	20.650	21.652	21.581	22.082	19.984	22.609	21.079	20.746	19.080
16/12/2014 13:55	21.987	21.246	21.342	21.628	21.270	21.843	21.557	21.437	21.246	21.223	20.436	21.175		21.318	21.413		22.226	22.896	21.008	20.674	21.604	21.581	22.106	20.007	22.776	21.127	20.770	19.389
16/12/2014 14:00	21.867	21.270	21.390	21.604	21.318	21.843	21.581	21.485	21.390	21.294	20.460	21.246		22.345	21.461		22.274	22.920	21.032	20.674	21.628	21.604	22.106	20.007	22.657	21.103	20.793	19.080
16/12/2014 14:05	21.819	21.294	21.390	21.581	21.676	21.891	21.891	21.509	21.413	21.318	20.507	21.270		22.178	21.485		22.274	22.944	21.032	20.674	21.652	21.604	22.106	20.007	22.657	21.127	20.817	19.008
16/12/2014 14:10	21.772	21.318	21.461	21.581	22.609	21.891	22.896	21.557	21.533	21.366	20.531	21.342		21.748	22.561		22.321	22.992	21.079	20.674	21.652	21.652	22.130	20.007	22.657	21.127	20.793	19.056
16/12/2014 14:15	21.748	21.342	21.509	21.581	22.345	21.891	22.609	21.557	21.628	21.413	20.555	22.034		21.509	22.968		22.298	22.968	21.079	20.698	21.652	21.652	22.154	20.007	22.657	21.127	20.865	19.080
16/12/2014 14:20	21.724	21.366	22.250	21.581	21.604	21.891	22.058	21.581	21.628	21.413	20.555	21.915		21.366	23.448		22.298	22.992	21.079	20.698	21.652	21.676	22.154	20.031	22.657	21.151	20.841	19.080
16/12/2014 14:25	21.724	22.106	23.328	21.581	21.127	21.939	21.700	21.604	21.724	21.461	20.603	20.841		21.270	22.489		22.274	22.968	21.079	20.722	21.652	21.676	22.178	20.031	22.681	21.175	20.865	19.103
16/12/2014 14:30	21.748	22.441	23.088	21.604	20.889	21.987	21.509	21.628	21.843	21.485	20.627	20.150		21.223	21.915		22.321	23.016	21.127	20.746	21.676	21.652	22.226	20.031	22.729	21.223	20.889	19.127
16/12/2014 14:35	21.772	22.154	22.920	21.604	20.722	21.987	21.413	21.628	22.657	21.509	20.650	19.770		21.223	21.581		22.321	23.016	21.151	20.793	21.676	21.676	22.250	20.031	22.705	21.199	20.865	19.127
16/12/2014 14:40	21.748	21.915	22.824	21.604	20.627	21.987	21.342	21.628	22.321	21.509	20.650	19.555		21.175	21.413		22.321	23.016	21.151	20.770	21.676	21.676	22.226	20.031	22.681	21.199	20.889	19.151
16/12/2014 14:45	21.724	21.795	22.753	21.604	20.555	21.987	21.318	21.604	22.058	21.509	20.674	19.365		21.175	21.318		22.298	22.992	21.151	20.770	21.676	21.676	22.274	20.055	22.705	21.199	20.889	19.151
16/12/2014 14:50	21.748	21.748	22.753	21.628	20.531	21.987	21.270	21.604	21.867	21.485	20.650	19.270		21.151	21.223		22.298	23.328	21.175	20.817	21.700	21.700	22.250	20.055	22.705	21.223	20.936	19.151
16/12/2014 14:55	21.748	21.700	22.729	21.604	20.484	21.987	21.246	21.604	21.819	21.509	20.650	19.222		21.151	21.151		22.274	23.160	21.199	20.841	21.700	21.724	22.250	20.055	22.729	21.223	20.936	19.127
16/12/2014 15:00	21.724	21.676	22.729	21.581	20.460	21.987	21.223	21.557	21.748	21.485	20.650	19.151		21.127	21.127		22.274	23.088	21.175	20.817	21.676	21.724	22.226	20.055	22.729	21.199	20.913	19.151
