date	2-200	2-120	2-260	3-120	3_35	4-260	4-200	4-120	4_35	6_260	6_200	6_120	6_35	6_200	7_120	8_120	8_200	9_200a	9_200b	9_200c	9_200d	10_260	10_200	10_120	10_35
30/10/2015 12:25	22.058	23.665	22.369	22.369	22.082	22.274	22.130	21.939	22.082	22.178	22.274	21.963	22.011	22.776	22.513	22.321	21.891	22.274	22.298	22.274	22.274	22.561	22.369	22.465	22.034
30/10/2015 12:30	22.226	23.785	22.130	22.226	21.939	22.250	22.154	21.963	22.082	22.154	22.202	21.963	21.939	22.609	22.393	22.250	21.891	22.058	22.082	22.082	22.106	22.417	22.393	22.489	22.106
30/10/2015 12:35	22.154	23.617	21.963	22.106	21.819	22.178	22.106	21.939	22.058	22.106	22.106	21.939	21.867	22.393	22.226	22.154	21.795	21.939	21.963	21.963	22.011	22.226	22.321	22.393	21.987
30/10/2015 12:40	22.058	23.448	21.891	22.082	21.795	22.130	22.058	21.915	22.011	22.082	22.034	21.915	21.819	22.226	22.082	22.082	21.724	21.867	21.891	21.915	21.963	22.106	22.202	22.298	21.891
30/10/2015 12:45	21.987	23.352	21.891	22.058	21.772	22.082	22.011	21.915	21.987	22.058	21.987	21.891	21.795	22.106	22.034	22.011	21.700	21.843	21.891	21.891	21.939	22.034	22.130	22.250	21.795
30/10/2015 12:50	21.915	23.328	21.891	22.011	21.748	22.058	21.987	21.891	21.963	22.058	21.963	21.891	21.795	22.011	21.987	21.939	21.676	21.819	21.867	21.867	21.891	21.987	22.058	22.202	21.772
30/10/2015 12:55	21.891	23.304	21.915	21.987	21.748	22.058	21.963	21.891	21.963	22.034	21.939	21.891	21.795	21.915	21.963	21.891	21.676	21.819	21.867	21.867	21.915	21.963	22.034	22.178	21.795
30/10/2015 13:00	21.867	23.304	21.963	22.011	21.772	22.058	21.987	21.915	21.963	22.034	21.939	21.891	21.795	21.891	21.963	21.867	21.676	21.843	21.891	21.891	21.915	21.939	22.011	22.130	21.819
30/10/2015 13:05	21.843	23.304	21.987	22.011	21.772	22.058	21.963	21.915	21.963	22.058	21.963	21.915	21.795	21.867	21.963	21.843	21.676	21.843	21.891	21.891	21.939	21.963	22.011	22.154	21.819
30/10/2015 13:10	21.843	23.328	21.987	22.034	21.795	22.058	21.987	21.939	21.987	22.058	21.963	21.915	21.819	21.867	21.987	21.843	21.700	21.867	21.891	21.915	21.939	21.963	22.034	22.154	21.819
30/10/2015 13:15	21.843	23.328	22.011	22.011	21.795	22.058	21.987	21.939	21.987	22.058	21.963	21.915	21.819	21.867	21.987	21.819	21.700	21.867	21.915	21.915	21.963	21.963	22.034	22.154	21.819
30/10/2015 13:20	21.843	23.352	22.011	22.034	21.819	22.082	21.987	21.963	22.011	22.058	21.987	21.939	21.843	21.867	21.987	21.843	21.700	21.891	21.915	21.939	21.963	21.963	22.058	22.154	21.843
30/10/2015 13:25	21.843	23.352	21.987	22.034	21.843	22.082	21.987	21.963	21.987	22.082	21.987	21.939	21.843	21.867	22.011	21.843	21.724	21.891	21.939	21.939	21.963	21.963	22.058	22.154	21.843
30/10/2015 13:30	21.843	23.352	22.034	22.058	21.843	22.106	22.011	21.963	22.011	22.082	22.489	21.939	21.867	21.867	22.011	21.843	21.724	21.915	21.939	21.939	21.987	21.963	22.058	22.178	21.867
30/10/2015 13:35	21.843	23.376	22.011	22.058	21.843	22.106	22.011	21.987	22.011	22.082	21.987	21.963	21.867	21.867	22.011	21.867	21.748	21.915	21.963	21.963	21.987	21.987	22.082	22.202	21.867
30/10/2015 13:40	21.867	23.376	22.011	22.058	21.867	22.106	22.011	21.987	22.011	22.082	22.011	21.963	21.867	21.867	22.034	21.867	21.748	22.011	22.034	22.082	22.154	22.011	22.082	22.178	21.891
30/10/2015 13:45	21.867	23.376	22.345	22.178	21.963	22.154	22.058	22.011	22.058	22.106	22.130	21.987	21.915	21.891	22.082	21.867	21.748	22.345	22.369	22.369	22.417	21.987	22.082	22.202	21.891
30/10/2015 13:50	21.891	23.545	22.585	22.489	22.226	22.274	22.154	22.058	22.154	22.178	22.321	22.082	22.106	22.011	22.393	21.891	21.867	22.537	22.513	22.513	22.513	22.393	22.178	22.250	22.034
30/10/2015 13:55	22.058	23.809	22.465	22.513	22.369	22.369	22.274	22.106	22.226	22.250	22.393	22.154	22.202	22.106	22.465	22.011	22.011	22.369	22.369	22.393	22.417	22.609	22.369	22.465	22.202
